sector_type,rank_within_sector,nic_5digit,description,msme_count,nic_2digit,nic_2digit_name,isic_section,isic_section_name
manufacturing,1,32909,Manufacture of other articles n.e.c.,205103,32,Other manufacturing,C,Manufacturing
manufacturing,2,14101,Manufacture of all types of textile garments and clothing accessories,100382,14,Manufacture of wearing apparel,C,Manufacturing
manufacturing,3,41001,Construction of buildings carried out on own-account basis or on a fee or contract basis,80196,41,Construction of buildings,F,Construction
manufacturing,4,13999,Manufacture of other textiles/textile products n.e.c.,73707,13,Manufacture of textiles,C,Manufacturing
manufacturing,5,10799,"Other semi-processed, processed or instant foods n.e.c.",57894,10,Manufacture of food products,C,Manufacturing
manufacturing,6,25999,Manufacture of other fabricated metal products n.e.c.,50253,25,Manufacture of fabricated metal products,C,Manufacturing
manufacturing,7,42909,Other civil engineering projects n.e.c.,45831,42,Civil engineering,F,Construction
manufacturing,8,41002,"Activities relating to alteration, addition, repair, maintenance of buildings",40657,41,Construction of buildings,F,Construction
manufacturing,9,14105,Custom tailoring,39066,14,Manufacture of wearing apparel,C,Manufacturing
manufacturing,10,32111,"Manufacture of jewellery of gold, silver and other precious or base metal",39042,32,Other manufacturing,C,Manufacturing
manufacturing,11,31001,Manufacture of furniture made of wood,36400,31,Manufacture of furniture,C,Manufacturing
manufacturing,12,13121,"Weaving, manufacture of cotton and cotton mixture fabrics",34797,13,Manufacture of textiles,C,Manufacturing
manufacturing,13,22209,Manufacture of other plastics products n.e.c,33376,22,Manufacture of rubber and plastic products,C,Manufacturing
manufacturing,14,10795,Grinding and processing of spices,31512,10,Manufacture of food products,C,Manufacturing
manufacturing,15,10611,Flour milling,30206,10,Manufacture of food products,C,Manufacturing
manufacturing,16,10509,Manufacture of other dairy products n.e.c.,26706,10,Manufacture of food products,C,Manufacturing
manufacturing,17,42101,"Construction and maintenance of motorways, streets, roads, bridges, tunnels",25296,42,Civil engineering,F,Construction
manufacturing,18,24109,Manufacture of other basic iron and steel n.e.c,24858,24,Manufacture of basic metals,C,Manufacturing
manufacturing,19,27900,Manufacture of other electrical equipment,24602,27,Manufacture of electrical equipment,C,Manufacturing
manufacturing,20,10712,"Manufacture of biscuits, cakes, pastries, rusks etc.",23476,10,Manufacture of food products,C,Manufacturing
manufacturing,21,14109,Manufacture of wearing apparel n.e.c.,22886,14,Manufacture of wearing apparel,C,Manufacturing
manufacturing,22,10612,Rice milling,22527,10,Manufacture of food products,C,Manufacturing
manufacturing,23,28299,Manufacture of other special-purpose machinery n.e.c.,21776,28,Manufacture of machinery and equipment n.e.c.,C,Manufacturing
manufacturing,24,43900,Other specialized construction activities,21330,43,Specialized construction activities,F,Construction
manufacturing,25,33140,Repair of electrical equipment,21066,33,Repair and installation of machinery and equipment,C,Manufacturing
manufacturing,26,13139,Other activities relating to finishing of textile n.e.c.,20521,13,Manufacture of textiles,C,Manufacturing
manufacturing,27,8106,Crushing and breaking of stone and operation of sand or gravel pits,19993,8,Other mining and quarrying,B,Mining and quarrying
manufacturing,28,10719,Manufacture of other bakery products n.e.c.,19291,10,Manufacture of food products,C,Manufacturing
manufacturing,29,13122,"Weaving, manufacture of silk and silk mixture fabrics",18428,13,Manufacture of textiles,C,Manufacturing
manufacturing,30,31009,Manufacture of other furniture n.e.c.,17916,31,Manufacture of furniture,C,Manufacturing
manufacturing,31,1612,Operation of agricultural irrigation equipment,17647,1,"Crop and animal production, hunting and related service activities",A,"Agriculture, forestry and fishing"
