flow,reporter,year,indicator,indicator_name,mode,value_musd
export,India,2005,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2006,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2007,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2008,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2009,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2010,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2011,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2012,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2013,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2014,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2015,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2016,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2017,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2018,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2019,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2020,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2021,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2022,SA,Manufacturing services on physical inputs owned by others,Mode 1,0.0
export,India,2005,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2006,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2007,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2008,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2009,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2010,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2011,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2012,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2013,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2014,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2015,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2016,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2017,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2018,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2019,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2020,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2021,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2022,SB,Maintenance and repair services not included elsewhere,Mode 1,0.0
export,India,2005,SC,Transport,Mode 1,5194.018
export,India,2006,SC,Transport,Mode 1,6622.779
export,India,2007,SC,Transport,Mode 1,7893.523
export,India,2008,SC,Transport,Mode 1,9779.001
export,India,2009,SC,Transport,Mode 1,2125.372
export,India,2010,SC,Transport,Mode 1,1719.597
export,India,2011,SC,Transport,Mode 1,4616.544
export,India,2012,SC,Transport,Mode 1,11219.44
export,India,2013,SC,Transport,Mode 1,14968.857
export,India,2014,SC,Transport,Mode 1,16361.362
export,India,2015,SC,Transport,Mode 1,12191.815
export,India,2016,SC,Transport,Mode 1,12758.824
export,India,2017,SC,Transport,Mode 1,14244.711
export,India,2018,SC,Transport,Mode 1,15790.077
export,India,2019,SC,Transport,Mode 1,16528.307
export,India,2020,SC,Transport,Mode 1,15591.56
export,India,2021,SC,Transport,Mode 1,21610.773
export,India,2022,SC,Transport,Mode 1,27288.804
export,India,2005,SC1,Sea transport,Mode 1,4244.64
export,India,2006,SC1,Sea transport,Mode 1,5251.22
export,India,2007,SC1,Sea transport,Mode 1,6215.86
export,India,2008,SC1,Sea transport,Mode 1,7909.85
export,India,2009,SC1,Sea transport,Mode 1,1787.06
export,India,2010,SC1,Sea transport,Mode 1,1685.105
export,India,2011,SC1,Sea transport,Mode 1,4595.438
export,India,2012,SC1,Sea transport,Mode 1,7310.778
export,India,2013,SC1,Sea transport,Mode 1,9599.443
export,India,2014,SC1,Sea transport,Mode 1,9932.345
export,India,2015,SC1,Sea transport,Mode 1,7854.131
export,India,2016,SC1,Sea transport,Mode 1,7952.901
export,India,2017,SC1,Sea transport,Mode 1,9336.545
export,India,2018,SC1,Sea transport,Mode 1,10341.109
export,India,2019,SC1,Sea transport,Mode 1,10220.71
export,India,2020,SC1,Sea transport,Mode 1,9806.42
export,India,2021,SC1,Sea transport,Mode 1,13700.471
export,India,2022,SC1,Sea transport,Mode 1,18040.027
export,India,2005,SC11,Passenger (Sea),Mode 1,0.0
export,India,2006,SC11,Passenger (Sea),Mode 1,0.0
export,India,2007,SC11,Passenger (Sea),Mode 1,0.01
export,India,2008,SC11,Passenger (Sea),Mode 1,0.0
export,India,2009,SC11,Passenger (Sea),Mode 1,0.002
export,India,2010,SC11,Passenger (Sea),Mode 1,0.0
export,India,2011,SC11,Passenger (Sea),Mode 1,0.0
export,India,2012,SC11,Passenger (Sea),Mode 1,92.388
export,India,2013,SC11,Passenger (Sea),Mode 1,120.633
export,India,2014,SC11,Passenger (Sea),Mode 1,123.322
export,India,2015,SC11,Passenger (Sea),Mode 1,94.896
export,India,2016,SC11,Passenger (Sea),Mode 1,106.517
export,India,2017,SC11,Passenger (Sea),Mode 1,131.558
export,India,2018,SC11,Passenger (Sea),Mode 1,122.016
export,India,2019,SC11,Passenger (Sea),Mode 1,118.754
export,India,2020,SC11,Passenger (Sea),Mode 1,95.112
export,India,2021,SC11,Passenger (Sea),Mode 1,147.426
export,India,2022,SC11,Passenger (Sea),Mode 1,232.477
export,India,2005,SC12,Freight  (Sea),Mode 1,4244.64
export,India,2006,SC12,Freight  (Sea),Mode 1,5251.22
export,India,2007,SC12,Freight  (Sea),Mode 1,6215.85
export,India,2008,SC12,Freight  (Sea),Mode 1,7909.85
export,India,2009,SC12,Freight  (Sea),Mode 1,1787.058
export,India,2010,SC12,Freight  (Sea),Mode 1,1685.105
export,India,2011,SC12,Freight  (Sea),Mode 1,4595.438
export,India,2012,SC12,Freight  (Sea),Mode 1,7218.39
export,India,2013,SC12,Freight  (Sea),Mode 1,9478.81
export,India,2014,SC12,Freight  (Sea),Mode 1,9809.023
export,India,2015,SC12,Freight  (Sea),Mode 1,7759.235
export,India,2016,SC12,Freight  (Sea),Mode 1,7846.384
export,India,2017,SC12,Freight  (Sea),Mode 1,9204.987
export,India,2018,SC12,Freight  (Sea),Mode 1,10219.093
export,India,2019,SC12,Freight  (Sea),Mode 1,10101.956
export,India,2020,SC12,Freight  (Sea),Mode 1,9711.308
export,India,2021,SC12,Freight  (Sea),Mode 1,13553.045
export,India,2022,SC12,Freight  (Sea),Mode 1,17807.55
export,India,2005,SC13,Other  (Sea),Mode 1,0.0
export,India,2006,SC13,Other  (Sea),Mode 1,0.0
export,India,2007,SC13,Other  (Sea),Mode 1,0.0
export,India,2008,SC13,Other  (Sea),Mode 1,0.0
export,India,2009,SC13,Other  (Sea),Mode 1,0.0
export,India,2010,SC13,Other  (Sea),Mode 1,0.0
export,India,2011,SC13,Other  (Sea),Mode 1,0.0
export,India,2012,SC13,Other  (Sea),Mode 1,0.0
export,India,2013,SC13,Other  (Sea),Mode 1,0.0
export,India,2014,SC13,Other  (Sea),Mode 1,0.0
export,India,2015,SC13,Other  (Sea),Mode 1,0.0
export,India,2016,SC13,Other  (Sea),Mode 1,0.0
export,India,2017,SC13,Other  (Sea),Mode 1,0.0
export,India,2018,SC13,Other  (Sea),Mode 1,0.0
export,India,2019,SC13,Other  (Sea),Mode 1,0.0
export,India,2020,SC13,Other  (Sea),Mode 1,0.0
export,India,2021,SC13,Other  (Sea),Mode 1,0.0
export,India,2022,SC13,Other  (Sea),Mode 1,0.0
export,India,2005,SC2,Air transport,Mode 1,166.42
export,India,2006,SC2,Air transport,Mode 1,281.019
export,India,2007,SC2,Air transport,Mode 1,503.943
export,India,2008,SC2,Air transport,Mode 1,630.051
export,India,2009,SC2,Air transport,Mode 1,84.782
export,India,2010,SC2,Air transport,Mode 1,0.0
export,India,2011,SC2,Air transport,Mode 1,0.0
export,India,2012,SC2,Air transport,Mode 1,3716.745
export,India,2013,SC2,Air transport,Mode 1,5099.176
export,India,2014,SC2,Air transport,Mode 1,6112.826
export,India,2015,SC2,Air transport,Mode 1,4049.538
export,India,2016,SC2,Air transport,Mode 1,4477.927
export,India,2017,SC2,Air transport,Mode 1,4444.452
export,India,2018,SC2,Air transport,Mode 1,4883.232
export,India,2019,SC2,Air transport,Mode 1,5533.157
export,India,2020,SC2,Air transport,Mode 1,4608.661
export,India,2021,SC2,Air transport,Mode 1,5859.247
export,India,2022,SC2,Air transport,Mode 1,7122.699
export,India,2005,SC21,Passenger (Air),Mode 1,166.42
export,India,2006,SC21,Passenger (Air),Mode 1,281.019
